seed=2303 task=6 policy=task_virtual_frontier success=True steps=20 explore=0 signal=0 changed=0
seed=2303 task=7 policy=structural success=True steps=16 explore=0 signal=0 changed=0
seed=2303 task=7 policy=frontier_t0 success=True steps=16 explore=0 signal=0 changed=0
seed=2303 task=7 policy=virtual_frontier success=True steps=16 explore=0 signal=0 changed=0
seed=2303 task=7 policy=task_virtual_frontier success=True steps=16 explore=0 signal=0 changed=0
seed=2303 task=8 policy=structural success=True steps=6 explore=0 signal=0 changed=0
seed=2303 task=8 policy=frontier_t0 success=True steps=6 explore=0 signal=0 changed=0
seed=2303 task=8 policy=virtual_frontier success=True steps=6 explore=0 signal=0 changed=0
seed=2303 task=8 policy=task_virtual_frontier success=True steps=6 explore=0 signal=0 changed=0
seed=2303 task=9 policy=structural success=True steps=11 explore=0 signal=0 changed=0
seed=2303 task=9 policy=frontier_t0 success=True steps=11 explore=0 signal=0 changed=0
seed=2303 task=9 policy=virtual_frontier success=True steps=11 explore=0 signal=0 changed=0
seed=2303 task=9 policy=task_virtual_frontier success=True steps=11 explore=0 signal=0 changed=0
seed=2303 task=10 policy=structural success=True steps=13 explore=0 signal=0 changed=0
seed=2303 task=10 policy=frontier_t0 success=True steps=13 explore=0 signal=0 changed=0
seed=2303 task=10 policy=virtual_frontier success=True steps=13 explore=0 signal=0 changed=0
seed=2303 task=10 policy=task_virtual_frontier success=True steps=13 explore=0 signal=0 changed=0
seed=2303 task=11 policy=structural success=True steps=8 explore=0 signal=0 changed=0
seed=2303 task=11 policy=frontier_t0 success=True steps=8 explore=0 signal=0 changed=0
seed=2303 task=11 policy=virtual_frontier success=True steps=8 explore=0 signal=0 changed=0
seed=2303 task=11 policy=task_virtual_frontier success=True steps=8 explore=0 signal=0 changed=0
seed=2505 task=0 policy=structural success=True steps=42 explore=13 signal=0 changed=0
seed=2505 task=0 policy=frontier_t0 success=True steps=42 explore=13 signal=0 changed=0
seed=2505 task=0 policy=virtual_frontier success=True steps=42 explore=13 signal=0 changed=0
seed=2505 task=0 policy=task_virtual_frontier success=True steps=42 explore=13 signal=0 changed=0
seed=2505 task=1 policy=structural success=True steps=428 explore=407 signal=0 changed=0
seed=2505 task=1 policy=frontier_t0 success=True steps=428 explore=407 signal=0 changed=0
seed=2505 task=1 policy=virtual_frontier success=True steps=428 explore=407 signal=287 changed=0
seed=2505 task=1 policy=task_virtual_frontier success=True steps=428 explore=407 signal=287 changed=0
seed=2505 task=2 policy=structural success=True steps=307 explore=284 signal=0 changed=0
seed=2505 task=2 policy=frontier_t0 success=True steps=307 explore=284 signal=0 changed=0
seed=2505 task=2 policy=virtual_frontier success=True steps=307 explore=284 signal=197 changed=0
seed=2505 task=2 policy=task_virtual_frontier success=True steps=307 explore=284 signal=197 changed=0
seed=2505 task=3 policy=structural success=True steps=445 explore=424 signal=0 changed=0
seed=2505 task=3 policy=frontier_t0 success=True steps=466 explore=445 signal=0 changed=0
seed=2505 task=3 policy=virtual_frontier success=True steps=445 explore=424 signal=300 changed=0
seed=2505 task=3 policy=task_virtual_frontier success=True steps=445 explore=424 signal=300 changed=0
seed=2505 task=4 policy=structural success=True steps=291 explore=280 signal=0 changed=0
