seed,task_id,task_type,policy,starts_in_model,success,task_steps,capped_steps,exploration_steps,replans,failure_reason,final_memory,final_memory_accepting,exploration_decisions,virtual_field_decisions,task_signal_available_decisions,field_changed_decisions,has_changed_decision,generic_counterfactual_action_switches,virtual_nodes_total,virtual_nodes_max,real_product_nodes_max,field_solve_seconds,max_field_residual,constant_source_roundoff_corrections,wall_seconds,cpu_seconds,sampled_peak_rss_bytes,process_peak_rss_bytes_so_far,states_known_at_end,virtual_nodes_mean
2505,4,all_of,task_virtual_frontier,False,True,291,291,280,291,success,7,True,280,280,196,0,False,257,24205,164,421,0.21043342300009726,1.1102230246251565e-15,0,1.6311228380000102,1.6309437160000044,68354048,69021696,212,86.44642857142857
2505,5,condition_then,structural,True,True,12,12,0,12,success,2,True,0,0,0,0,False,0,0,0,0,0,0,0,0.03733231000001069,0.037329235000001404,68354048,69021696,137,0.0
2505,5,condition_then,frontier_t0,True,True,12,12,0,12,success,2,True,0,0,0,0,False,0,0,0,0,0,0,0,0.0371962150000229,0.03718510700001332,68354048,69021696,137,0.0
2505,5,condition_then,virtual_frontier,True,True,12,12,0,12,success,2,True,0,0,0,0,False,0,0,0,0,0,0,0,0.03715235300001041,0.037149460999998496,68354048,69021696,137,0.0
2505,5,condition_then,task_virtual_frontier,True,True,12,12,0,12,success,2,True,0,0,0,0,False,0,0,0,0,0,0,0,0.037226541999984875,0.037223308000008615,68354048,69021696,137,0.0
2505,6,sequence,structural,False,True,477,477,464,477,success,3,True,464,0,0,0,False,0,0,0,0,0,0,0,1.0058471560000157,1.0057350550000024,68460544,69021696,265,0.0
2505,6,sequence,frontier_t0,False,True,477,477,464,477,success,3,True,464,0,0,0,False,0,0,0,0,0,0,0,1.1077320709999867,1.1076924689999998,68460544,69021696,265,0.0
2505,6,sequence,virtual_frontier,False,True,477,477,464,477,success,3,True,464,464,159,0,False,414,40654,188,515,0.3279820510003617,1.1102230246251565e-15,0,2.244522035000017,2.2443489860000057,68841472,69021696,265,87.61637931034483
2505,6,sequence,task_virtual_frontier,False,True,477,477,464,477,success,3,True,464,464,159,0,False,414,40654,188,515,0.3300007509993179,1.1102230246251565e-15,0,2.2517675409999924,2.251579579999998,68861952,69021696,265,87.61637931034483
2505,7,all_of,structural,False,True,256,256,256,256,success,7,True,256,0,0,0,False,0,0,0,0,0,0,0,0.3191620849999879,0.3191183170000045,68861952,69021696,217,0.0
2505,7,all_of,frontier_t0,False,True,256,256,256,256,success,7,True,256,0,0,0,False,0,0,0,0,0,0,0,0.3684648779999975,0.3684229899999991,68861952,69021696,217,0.0
2505,7,all_of,virtual_frontier,False,True,256,256,256,256,success,7,True,256,256,0,0,False,224,14502,94,210,0.1228614450000407,7.771561172376096e-16,0,0.7684544519999861,0.768377593000011,68861952,69021696,217,56.6484375
2505,7,all_of,task_virtual_frontier,False,True,256,256,256,256,success,7,True,256,256,0,0,False,224,14502,94,210,0.12322825699988016,7.771561172376096e-16,0,0.7706462810000119,0.770562788999996,68861952,69021696,217,56.6484375
2505,8,condition_then,structural,False,True,432,432,432,432,success,2,True,432,0,0,0,False,0,0,0,0,0,0,0,0.5752562360000013,0.5752155180000074,68861952,69021696,256,0.0
2505,8,condition_then,frontier_t0,False,True,432,432,432,432,success,2,True,432,0,0,0,False,0,0,0,0,0,0,0,0.6668721140000002,0.666823480000005,68861952,69021696,256,0.0
2505,8,condition_then,virtual_frontier,False,True,432,432,432,432,success,2,True,432,432,0,0,False,386,25940,94,250,0.23477707700041606,8.881784197001252e-16,0,1.405836776000001,1.404862012999999,68943872,69021696,256,60.0462962962963
2505,8,condition_then,task_virtual_frontier,False,True,432,432,432,432,success,2,True,432,432,0,0,False,386,25940,94,250,0.23396939099978908,8.881784197001252e-16,0,1.3925877270000058,1.3924364659999924,68943872,69021696,256,60.0462962962963
2505,9,branch,structural,False,True,16,16,5,16,success,3,True,5,0,0,0,False,0,0,0,0,0,0,0,0.04760587199999122,0.04760319400000412,68947968,69021696,141,0.0
2505,9,branch,frontier_t0,False,True,16,16,5,16,success,3,True,5,0,0,0,False,0,0,0,0,0,0,0,0.04794434499999056,0.04792395399999805,68947968,69021696,141,0.0
2505,9,branch,virtual_frontier,False,True,16,16,5,16,success,3,True,5,5,0,0,False,1,19,4,1,0.00128847000001997,0.0,0,0.04984056099999634,0.049829789000000346,68947968,69021696,141,3.8
2505,9,branch,task_virtual_frontier,False,True,16,16,5,16,success,3,True,5,5,0,0,False,1,19,4,1,0.001335468999997147,0.0,0,0.04995234000000437,0.04994944199999907,68947968,69021696,141,3.8
2505,10,branch,structural,False,True,295,295,286,295,success,3,True,286,0,0,0,False,0,0,0,0,0,0,0,0.38502068799999734,0.38501574000000005,68947968,69021696,218,0.0
2505,10,branch,frontier_t0,False,True,295,295,286,295,success,3,True,286,0,0,0,False,0,0,0,0,0,0,0,0.44094283900000164,0.44089249900000027,68947968,69021696,218,0.0
2505,10,branch,virtual_frontier,False,True,295,295,286,295,success,3,True,286,286,0,0,False,252,15435,85,213,0.1439397050000082,5.551115123125783e-16,0,0.8840033280000057,0.8839128890000012,68947968,69021696,218,53.96853146853147
2505,10,branch,task_virtual_frontier,False,True,295,295,286,295,success,3,True,286,286,0,0,False,252,15435,85,213,0.1435252830000877,5.551115123125783e-16,0,0.8799135989999911,0.8798296920000013,68947968,69021696,218,53.96853146853147
2505,11,branch,structural,False,True,19,19,10,19,success,3,True,10,0,0,0,False,0,0,0,0,0,0,0,0.039651128999992125,0.03963374499998906,68947968,69021696,144,0.0
2505,11,branch,frontier_t0,False,True,19,19,10,19,success,3,True,10,0,0,0,False,0,0,0,0,0,0,0,0.04084400899998286,0.04084075699999801,68947968,69021696,144,0.0
2505,11,branch,virtual_frontier,False,True,19,19,10,19,success,3,True,10,10,0,0,False,5,37,4,1,0.0024650080000014896,0.0,0,0.04453435299998887,0.044531273000004035,68947968,69021696,144,3.7
2505,11,branch,task_virtual_frontier,False,True,19,19,10,19,success,3,True,10,10,0,0,False,5,37,4,1,0.0024403139999833456,0.0,0,0.045028748000021324,0.045009745000001544,68947968,69021696,144,3.7
