capped_steps,cpu_seconds,exploration_policy_cpu_seconds,exploration_steps,failure_reason,final_memory_accepting,policy,process_peak_rss_bytes_so_far,repeat,replans,rng_seed,sampled_peak_rss_bytes,seed,states_at_end,success,task_id,task_steps,task_type,wall_seconds
93,0.14104298699999962,0.07585826000000306,82,success,True,doob_task,64446464,1,93,76000101,64524288,73000000,57,True,1,93,all_of,0.14112968500000278
118,0.13216970800000016,0.07098630999999589,104,success,True,doob_task,64446464,2,118,76000102,64524288,73000000,60,True,1,118,all_of,0.1321735220000022
163,0.33610904900000005,0.20389963999999683,163,success,True,doob_task,64446464,3,163,76000103,64524288,73000000,55,True,1,163,all_of,0.33611957600000153
149,0.3546932079999996,0.20626447800000314,138,success,True,doob_task,64446464,4,149,76000104,64524288,73000000,57,True,1,149,all_of,0.35471786000000094
159,0.3540874839999999,0.20247345800000183,150,success,True,doob_task,64446464,5,159,76000105,64524288,73000000,59,True,1,159,all_of,0.35414907500000226
136,0.17239199999999943,0.09423488199998964,125,success,True,doob_task,64446464,6,136,76000106,64524288,73000000,58,True,1,136,all_of,0.17242007700000528
276,0.6295780539999996,0.37075221899999455,266,success,True,doob_task,64446464,7,276,76000107,64524288,73000000,71,True,1,276,all_of,0.6296149869999965
165,0.21537868800000037,0.13346094099998052,165,success,True,doob_task,64446464,8,165,76000108,64524288,73000000,68,True,1,165,all_of,0.215381837999999
138,0.3303984409999998,0.19236254700000366,126,success,True,doob_task,64446464,9,138,76000109,64524288,73000000,59,True,1,138,all_of,0.3304263249999977
112,0.2827309530000015,0.15206774799999856,99,success,True,deadline_generic,64446464,0,112,76000100,64528384,73000000,56,True,1,112,all_of,0.28273580300000134
120,0.20968639800000055,0.12275000200000719,120,success,True,deadline_task,64446464,0,120,76000100,64528384,73000000,57,True,1,120,all_of,0.20970405599999964
25,0.029045495000000088,0.003796123999999068,9,success,True,fixed_generic,64446464,0,25,76000200,64528384,73000000,43,True,2,25,condition_then,0.029085526000002915
25,0.028746063999999905,0.003909541000000516,9,success,True,fixed_task,64446464,0,25,76000200,64528384,73000000,43,True,2,25,condition_then,0.028750167999994858
38,0.03848219300000011,0.010179659000002061,22,success,True,doob_generic,64446464,0,38,76000200,64528384,73000000,46,True,2,38,condition_then,0.03849831800000203
65,0.05782780600000059,0.02293020999999662,49,success,True,doob_generic,64446464,1,65,76000201,64528384,73000000,51,True,2,65,condition_then,0.05784379800000039
37,0.03793761799999906,0.009489768999999981,21,success,True,doob_generic,64446464,2,37,76000202,64528384,73000000,48,True,2,37,condition_then,0.0379414330000003
24,0.02859634400000033,0.003666846999999862,8,success,True,doob_generic,64446464,3,24,76000203,64528384,73000000,43,True,2,24,condition_then,0.028610637999996413
33,0.0349648380000005,0.007781938000000821,17,success,True,doob_generic,64446464,4,33,76000204,64528384,73000000,46,True,2,33,condition_then,0.034966271000001825
29,0.030018856999999954,0.006724599000005327,15,success,True,doob_generic,64446464,5,29,76000205,64528384,73000000,47,True,2,29,condition_then,0.030020359000005215
33,0.03460908399999951,0.007585442999996417,17,success,True,doob_generic,64446464,6,33,76000206,64528384,73000000,49,True,2,33,condition_then,0.03461073299999384
22,0.02179333999999855,0.004773758000000683,11,success,True,doob_generic,64446464,7,22,76000207,64528384,73000000,49,True,2,22,condition_then,0.021796888000004344
27,0.03049792400000051,0.005064459000005073,11,success,True,doob_generic,64446464,8,27,76000208,64528384,73000000,48,True,2,27,condition_then,0.03049891500000257
32,0.0336579929999985,0.00730545600000454,16,success,True,doob_generic,64446464,9,32,76000209,64528384,73000000,46,True,2,32,condition_then,0.03365867799999478
38,0.038291497999999535,0.010101381999994885,22,success,True,doob_task,64446464,0,38,76000200,64528384,73000000,46,True,2,38,condition_then,0.03829278399999936
65,0.05866393700000039,0.02275624399999998,49,success,True,doob_task,64446464,1,65,76000201,64528384,73000000,51,True,2,65,condition_then,0.05866464000000349
37,0.0371888639999991,0.009425686999998462,21,success,True,doob_task,64446464,2,37,76000202,64528384,73000000,48,True,2,37,condition_then,0.037190116999994416
24,0.02843900699999935,0.003658243999996813,8,success,True,doob_task,64446464,3,24,76000203,64528384,73000000,43,True,2,24,condition_then,0.02844019199999792
33,0.034800553999998485,0.00783592799999866,17,success,True,doob_task,64446464,4,33,76000204,64528384,73000000,46,True,2,33,condition_then,0.034801504000000705
29,0.03023621200000015,0.0068533940000019555,15,success,True,doob_task,64446464,5,29,76000205,64528384,73000000,47,True,2,29,condition_then,0.030248067999998796
