seed,task_id,policy,success_rate,capped_steps
73000001,10,deadline_task,1.0,8.0
73000001,11,fixed_generic,1.0,9.0
73000001,11,fixed_task,1.0,9.0
73000001,11,doob_generic,1.0,9.0
73000001,11,doob_task,1.0,9.0
73000001,11,deadline_generic,1.0,9.0
73000001,11,deadline_task,1.0,9.0
73000002,0,fixed_generic,1.0,14.0
73000002,0,fixed_task,1.0,14.0
73000002,0,doob_generic,1.0,14.0
73000002,0,doob_task,1.0,14.0
73000002,0,deadline_generic,1.0,14.0
73000002,0,deadline_task,1.0,14.0
73000002,1,fixed_generic,1.0,11.0
73000002,1,fixed_task,1.0,11.0
73000002,1,doob_generic,1.0,11.0
73000002,1,doob_task,1.0,11.0
73000002,1,deadline_generic,1.0,11.0
73000002,1,deadline_task,1.0,11.0
73000002,2,fixed_generic,1.0,6.0
73000002,2,fixed_task,1.0,6.0
73000002,2,doob_generic,1.0,6.0
73000002,2,doob_task,1.0,6.0
73000002,2,deadline_generic,1.0,6.0
73000002,2,deadline_task,1.0,6.0
73000002,3,fixed_generic,1.0,12.0
73000002,3,fixed_task,1.0,12.0
73000002,3,doob_generic,1.0,12.0
73000002,3,doob_task,1.0,12.0
73000002,3,deadline_generic,1.0,12.0
73000002,3,deadline_task,1.0,12.0
73000002,4,fixed_generic,1.0,11.0
73000002,4,fixed_task,1.0,11.0
73000002,4,doob_generic,1.0,11.0
73000002,4,doob_task,1.0,11.0
73000002,4,deadline_generic,1.0,11.0
73000002,4,deadline_task,1.0,11.0
73000002,5,fixed_generic,1.0,8.0
73000002,5,fixed_task,1.0,8.0
73000002,5,doob_generic,1.0,8.0
73000002,5,doob_task,1.0,8.0
73000002,5,deadline_generic,1.0,8.0
73000002,5,deadline_task,1.0,8.0
73000002,6,fixed_generic,1.0,12.0
73000002,6,fixed_task,1.0,12.0
73000002,6,doob_generic,1.0,12.0
73000002,6,doob_task,1.0,12.0
73000002,6,deadline_generic,1.0,12.0
73000002,6,deadline_task,1.0,12.0
73000002,7,fixed_generic,1.0,5.0
73000002,7,fixed_task,1.0,5.0
73000002,7,doob_generic,1.0,5.0
73000002,7,doob_task,1.0,5.0
73000002,7,deadline_generic,1.0,5.0
73000002,7,deadline_task,1.0,5.0
73000002,8,fixed_generic,1.0,7.0
73000002,8,fixed_task,1.0,7.0
73000002,8,doob_generic,1.0,7.0
73000002,8,doob_task,1.0,7.0
73000002,8,deadline_generic,1.0,7.0
73000002,8,deadline_task,1.0,7.0
73000002,9,fixed_generic,1.0,12.0
73000002,9,fixed_task,1.0,12.0
73000002,9,doob_generic,1.0,12.0
73000002,9,doob_task,1.0,12.0
73000002,9,deadline_generic,1.0,12.0
73000002,9,deadline_task,1.0,12.0
73000002,10,fixed_generic,1.0,11.0
73000002,10,fixed_task,1.0,11.0
73000002,10,doob_generic,1.0,11.0
73000002,10,doob_task,1.0,11.0
73000002,10,deadline_generic,1.0,11.0
