slip,seed,task_id,task_type,planner,p_success,expected_cost,expected_steps_given_success,true_product_states,learned_states
0.0,2101,10,all_of,ssp_optimal,1.0,19.0,19.0,1380,170
0.0,2101,11,condition_then,linear,1.0,12.0,12.0,501,170
0.0,2101,11,condition_then,shortest,1.0,12.0,12.0,501,170
0.0,2101,11,condition_then,linear_empirical,1.0,12.0,12.0,501,170
0.0,2101,11,condition_then,certainty_equivalent,1.0,12.0,12.0,501,170
0.0,2101,11,condition_then,linear_oracle,1.0,12.0,12.0,501,170
0.0,2101,11,condition_then,shortest_oracle,1.0,12.0,12.0,501,170
0.0,2101,11,condition_then,ssp_optimal,1.0,12.0,12.0,501,170
0.0,2101,12,sequence,linear,1.0,20.0,20.0,693,170
0.0,2101,12,sequence,shortest,1.0,20.0,20.0,693,170
0.0,2101,12,sequence,linear_empirical,1.0,20.0,20.0,693,170
0.0,2101,12,sequence,certainty_equivalent,1.0,20.0,20.0,693,170
0.0,2101,12,sequence,linear_oracle,1.0,20.0,20.0,693,170
0.0,2101,12,sequence,shortest_oracle,1.0,20.0,20.0,693,170
0.0,2101,12,sequence,ssp_optimal,1.0,20.0,20.0,693,170
0.0,2101,13,all_of,linear,1.0,13.0,13.0,1380,170
0.0,2101,13,all_of,shortest,1.0,13.0,13.0,1380,170
0.0,2101,13,all_of,linear_empirical,1.0,13.0,13.0,1380,170
0.0,2101,13,all_of,certainty_equivalent,1.0,13.0,13.0,1380,170
0.0,2101,13,all_of,linear_oracle,1.0,13.0,13.0,1380,170
0.0,2101,13,all_of,shortest_oracle,1.0,13.0,13.0,1380,170
0.0,2101,13,all_of,ssp_optimal,1.0,13.0,13.0,1380,170
0.0,2101,14,condition_then,linear,1.0,5.0,5.0,505,170
0.0,2101,14,condition_then,shortest,1.0,5.0,5.0,505,170
0.0,2101,14,condition_then,linear_empirical,1.0,5.0,5.0,505,170
0.0,2101,14,condition_then,certainty_equivalent,1.0,5.0,5.0,505,170
0.0,2101,14,condition_then,linear_oracle,1.0,5.0,5.0,505,170
0.0,2101,14,condition_then,shortest_oracle,1.0,5.0,5.0,505,170
0.0,2101,14,condition_then,ssp_optimal,1.0,5.0,5.0,505,170
0.0,2101,15,sequence,linear,1.0,18.0,18.0,693,170
0.0,2101,15,sequence,shortest,1.0,18.0,18.0,693,170
0.0,2101,15,sequence,linear_empirical,1.0,18.0,18.0,693,170
0.0,2101,15,sequence,certainty_equivalent,1.0,18.0,18.0,693,170
0.0,2101,15,sequence,linear_oracle,1.0,18.0,18.0,693,170
0.0,2101,15,sequence,shortest_oracle,1.0,18.0,18.0,693,170
0.0,2101,15,sequence,ssp_optimal,1.0,18.0,18.0,693,170
0.0,2101,16,all_of,linear,1.0,17.0,17.0,1380,170
0.0,2101,16,all_of,shortest,1.0,16.0,16.0,1380,170
0.0,2101,16,all_of,linear_empirical,1.0,17.0,17.0,1380,170
0.0,2101,16,all_of,certainty_equivalent,1.0,16.0,16.0,1380,170
0.0,2101,16,all_of,linear_oracle,1.0,15.0,15.0,1380,170
0.0,2101,16,all_of,shortest_oracle,1.0,14.0,14.0,1380,170
0.0,2101,16,all_of,ssp_optimal,1.0,14.0,14.0,1380,170
0.0,2101,17,condition_then,linear,1.0,9.0,9.0,505,170
0.0,2101,17,condition_then,shortest,1.0,9.0,9.0,505,170
0.0,2101,17,condition_then,linear_empirical,1.0,9.0,9.0,505,170
0.0,2101,17,condition_then,certainty_equivalent,1.0,9.0,9.0,505,170
0.0,2101,17,condition_then,linear_oracle,1.0,8.0,8.0,505,170
0.0,2101,17,condition_then,shortest_oracle,1.0,8.0,8.0,505,170
0.0,2101,17,condition_then,ssp_optimal,1.0,8.0,8.0,505,170
0.0,2101,18,sequence,linear,1.0,21.0,21.0,693,170
0.0,2101,18,sequence,shortest,1.0,21.0,21.0,693,170
0.0,2101,18,sequence,linear_empirical,1.0,21.0,21.0,693,170
0.0,2101,18,sequence,certainty_equivalent,1.0,21.0,21.0,693,170
0.0,2101,18,sequence,linear_oracle,1.0,21.0,21.0,693,170
0.0,2101,18,sequence,shortest_oracle,1.0,21.0,21.0,693,170
0.0,2101,18,sequence,ssp_optimal,1.0,21.0,21.0,693,170
0.0,2101,19,all_of,linear,1.0,23.0,23.0,1380,170
0.0,2101,19,all_of,shortest,1.0,23.0,23.0,1380,170
0.0,2101,19,all_of,linear_empirical,1.0,23.0,23.0,1380,170
0.0,2101,19,all_of,certainty_equivalent,1.0,23.0,23.0,1380,170
0.0,2101,19,all_of,linear_oracle,1.0,19.0,19.0,1380,170
0.0,2101,19,all_of,shortest_oracle,1.0,19.0,19.0,1380,170
0.0,2101,19,all_of,ssp_optimal,1.0,19.0,19.0,1380,170
0.0,2101,20,condition_then,linear,1.0,7.0,7.0,465,170
0.0,2101,20,condition_then,shortest,1.0,7.0,7.0,465,170
0.0,2101,20,condition_then,linear_empirical,1.0,7.0,7.0,465,170
0.0,2101,20,condition_then,certainty_equivalent,1.0,7.0,7.0,465,170
0.0,2101,20,condition_then,linear_oracle,1.0,7.0,7.0,465,170
0.0,2101,20,condition_then,shortest_oracle,1.0,7.0,7.0,465,170
0.0,2101,20,condition_then,ssp_optimal,1.0,7.0,7.0,465,170
0.0,2101,21,sequence,linear,1.0,22.0,22.0,693,170
0.0,2101,21,sequence,shortest,1.0,22.0,22.0,693,170
0.0,2101,21,sequence,linear_empirical,1.0,22.0,22.0,693,170
0.0,2101,21,sequence,certainty_equivalent,1.0,22.0,22.0,693,170
0.0,2101,21,sequence,linear_oracle,1.0,19.0,19.0,693,170
0.0,2101,21,sequence,shortest_oracle,1.0,19.0,19.0,693,170
0.0,2101,21,sequence,ssp_optimal,1.0,19.0,19.0,693,170
0.0,2101,22,all_of,linear,1.0,19.0,19.0,1380,170
0.0,2101,22,all_of,shortest,1.0,19.0,19.0,1380,170
0.0,2101,22,all_of,linear_empirical,1.0,19.0,19.0,1380,170
0.0,2101,22,all_of,certainty_equivalent,1.0,19.0,19.0,1380,170
0.0,2101,22,all_of,linear_oracle,1.0,19.0,19.0,1380,170
0.0,2101,22,all_of,shortest_oracle,1.0,19.0,19.0,1380,170
0.0,2101,22,all_of,ssp_optimal,1.0,19.0,19.0,1380,170
0.0,2101,23,condition_then,linear,1.0,8.0,8.0,453,170
0.0,2101,23,condition_then,shortest,1.0,8.0,8.0,453,170
0.0,2101,23,condition_then,linear_empirical,1.0,8.0,8.0,453,170
0.0,2101,23,condition_then,certainty_equivalent,1.0,8.0,8.0,453,170
0.0,2101,23,condition_then,linear_oracle,1.0,8.0,8.0,453,170
0.0,2101,23,condition_then,shortest_oracle,1.0,8.0,8.0,453,170
0.0,2101,23,condition_then,ssp_optimal,1.0,8.0,8.0,453,170
0.0,2101,24,sequence,linear,1.0,21.0,21.0,693,170
0.0,2101,24,sequence,shortest,1.0,21.0,21.0,693,170
0.0,2101,24,sequence,linear_empirical,1.0,21.0,21.0,693,170
0.0,2101,24,sequence,certainty_equivalent,1.0,21.0,21.0,693,170
0.0,2101,24,sequence,linear_oracle,1.0,21.0,21.0,693,170
0.0,2101,24,sequence,shortest_oracle,1.0,21.0,21.0,693,170
0.0,2101,24,sequence,ssp_optimal,1.0,21.0,21.0,693,170
0.0,2101,25,all_of,linear,1.0,15.0,15.0,1380,170
0.0,2101,25,all_of,shortest,1.0,15.0,15.0,1380,170
0.0,2101,25,all_of,linear_empirical,1.0,15.0,15.0,1380,170
0.0,2101,25,all_of,certainty_equivalent,1.0,15.0,15.0,1380,170
0.0,2101,25,all_of,linear_oracle,1.0,15.0,15.0,1380,170
0.0,2101,25,all_of,shortest_oracle,1.0,15.0,15.0,1380,170
0.0,2101,25,all_of,ssp_optimal,1.0,15.0,15.0,1380,170
0.0,2101,26,condition_then,linear,1.0,15.0,15.0,447,170
0.0,2101,26,condition_then,shortest,1.0,14.0,14.0,447,170
0.0,2101,26,condition_then,linear_empirical,1.0,15.0,15.0,447,170
0.0,2101,26,condition_then,certainty_equivalent,1.0,14.0,14.0,447,170
0.0,2101,26,condition_then,linear_oracle,1.0,14.0,14.0,447,170
0.0,2101,26,condition_then,shortest_oracle,1.0,14.0,14.0,447,170
0.0,2101,26,condition_then,ssp_optimal,1.0,14.0,14.0,447,170
0.0,2101,27,sequence,linear,1.0,25.0,25.0,693,170
0.0,2101,27,sequence,shortest,1.0,25.0,25.0,693,170
0.0,2101,27,sequence,linear_empirical,1.0,25.0,25.0,693,170
0.0,2101,27,sequence,certainty_equivalent,1.0,25.0,25.0,693,170
0.0,2101,27,sequence,linear_oracle,1.0,25.0,25.0,693,170
0.0,2101,27,sequence,shortest_oracle,1.0,25.0,25.0,693,170
0.0,2101,27,sequence,ssp_optimal,1.0,25.0,25.0,693,170
0.0,2101,28,all_of,linear,1.0,18.0,18.0,1380,170
0.0,2101,28,all_of,shortest,1.0,18.0,18.0,1380,170
0.0,2101,28,all_of,linear_empirical,1.0,18.0,18.0,1380,170
0.0,2101,28,all_of,certainty_equivalent,1.0,18.0,18.0,1380,170
0.0,2101,28,all_of,linear_oracle,1.0,18.0,18.0,1380,170
0.0,2101,28,all_of,shortest_oracle,1.0,18.0,18.0,1380,170
0.0,2101,28,all_of,ssp_optimal,1.0,18.0,18.0,1380,170
0.0,2101,29,condition_then,linear,1.0,8.0,8.0,434,170
0.0,2101,29,condition_then,shortest,1.0,8.0,8.0,434,170
0.0,2101,29,condition_then,linear_empirical,1.0,8.0,8.0,434,170
0.0,2101,29,condition_then,certainty_equivalent,1.0,8.0,8.0,434,170
0.0,2101,29,condition_then,linear_oracle,1.0,8.0,8.0,434,170
