noise,slip,seed,task_id,task_type,planner,p_success,expected_cost,expected_steps_given_success,true_product_states,learned_states
uniform,0.4,2101,0,sequence,linear,0.3500466459594622,350.5110054596959,50.66435686686855,693,158
uniform,0.4,2101,0,sequence,shortest,0.5569683000397668,257.3649058056772,54.81941328412736,693,158
uniform,0.4,2101,0,sequence,linear_empirical,0.4169400224889886,318.26235016374557,47.33448604979849,693,158
uniform,0.4,2101,0,sequence,certainty_equivalent,0.4054664514316781,323.5380806679211,47.197255736865664,693,158
uniform,0.4,2101,0,sequence,linear_oracle,0.9999999999999968,35.51578286994685,35.51578286994531,693,158
uniform,0.4,2101,0,sequence,shortest_oracle,0.9999999999999983,39.976667456666256,39.97666745666547,693,158
uniform,0.4,2101,0,sequence,ssp_optimal,0.9999999999999973,35.30688404888883,35.30688404888756,693,158
uniform,0.4,2101,1,all_of,linear,0.11105648521596674,461.7058066392172,59.12961370083132,1380,158
uniform,0.4,2101,1,all_of,shortest,0.17868751034477456,436.52776497089786,89.63004877352816,1380,158
uniform,0.4,2101,1,all_of,linear_empirical,0.11149486954419756,460.84404953390333,53.18112631345752,1380,158
uniform,0.4,2101,1,all_of,certainty_equivalent,0.17838721052853762,434.1703998488842,75.70414717222693,1380,158
uniform,0.4,2101,1,all_of,linear_oracle,0.9999999999999979,20.089430175221697,20.08943017522066,1380,158
uniform,0.4,2101,1,all_of,shortest_oracle,0.9999999999999986,23.940385148506987,23.940385148506284,1380,158
uniform,0.4,2101,1,all_of,ssp_optimal,0.9999999999999982,19.948754400966802,19.948754400965928,1380,158
uniform,0.4,2101,2,condition_then,linear,0.45559108686996264,286.20586008754725,16.392982172409834,419,158
uniform,0.4,2101,2,condition_then,shortest,0.5655622080209755,236.44334803108433,24.77392997465648,419,158
uniform,0.4,2101,2,condition_then,linear_empirical,0.8632337704991695,87.51284171116171,20.259323493129404,419,158
uniform,0.4,2101,2,condition_then,certainty_equivalent,0.9333046777279969,45.670340652938066,12.345738668879294,419,158
uniform,0.4,2101,2,condition_then,linear_oracle,0.9999999999999988,11.199640959403547,11.199640959402936,419,158
uniform,0.4,2101,2,condition_then,shortest_oracle,0.9999999999999989,11.65021914324831,11.650219143247755,419,158
uniform,0.4,2101,2,condition_then,ssp_optimal,0.999999999999999,11.175904811129369,11.175904811128868,419,158
uniform,0.4,2101,3,sequence,linear,0.20300474258646747,418.5625449667115,51.727723388088464,693,158
uniform,0.4,2101,3,sequence,shortest,0.0804563889464679,475.0782032955392,53.09552780168985,693,158
uniform,0.4,2101,3,sequence,linear_empirical,0.1755597994458904,431.0031175251742,50.63650601976248,693,158
uniform,0.4,2101,3,sequence,certainty_equivalent,0.0749496643880826,477.2219743734579,47.98156962431978,693,158
uniform,0.4,2101,3,sequence,linear_oracle,0.9999999999999974,39.248725282490476,39.24872528248927,693,158
uniform,0.4,2101,3,sequence,shortest_oracle,0.9999999999999978,44.83897236390236,44.83897236390132,693,158
uniform,0.4,2101,3,sequence,ssp_optimal,0.9999999999999973,39.2286541902386,39.22865419023734,693,158
uniform,0.4,2101,4,all_of,linear,0.014303950416959598,505.35122997984746,47.17945558107088,1380,158
uniform,0.4,2101,4,all_of,shortest,0.031324532093958635,497.786959112907,58.2648621706258,1380,158
uniform,0.4,2101,4,all_of,linear_empirical,0.01285170161933733,505.9905574755591,44.40102342566585,1380,158
uniform,0.4,2101,4,all_of,certainty_equivalent,0.023575108127070536,501.19591826822835,53.71655656731951,1380,158
uniform,0.4,2101,4,all_of,linear_oracle,0.9999999999999976,32.71982025686607,32.7198202568649,1380,158
uniform,0.4,2101,4,all_of,shortest_oracle,0.9999999999999967,38.07006281141465,38.070062811413074,1380,158
uniform,0.4,2101,4,all_of,ssp_optimal,0.9999999999999979,32.555774875358324,32.555774875357315,1380,158
uniform,0.4,2101,5,condition_then,linear,0.09616884662952974,465.1318970538494,24.64775872065784,379,158
uniform,0.4,2101,5,condition_then,shortest,0.07712579503969814,474.35407797843754,23.889349053901483,379,158
uniform,0.4,2101,5,condition_then,linear_empirical,0.05365481799388885,485.9212953878912,25.954094204939693,379,158
uniform,0.4,2101,5,condition_then,certainty_equivalent,0.07795567836293296,473.94029849858543,23.777688288175728,379,158
