noise,slip,seed,task_id,task_type,planner,p_success,expected_cost,expected_steps_given_success,true_product_states,learned_states
drift_state,0.05,2101,0,sequence,linear,0.9999999999999986,21.673327628999473,21.673327628998766,693,170
drift_state,0.05,2101,0,sequence,shortest,0.999999999992194,23.545167544503904,23.545167540691036,693,170
drift_state,0.05,2101,0,sequence,linear_empirical,0.9999999999999988,21.66782096825091,21.66782096825031,693,170
drift_state,0.05,2101,0,sequence,certainty_equivalent,0.9999999999996964,21.64930845942549,21.649308459276597,693,170
drift_state,0.05,2101,0,sequence,linear_oracle,0.9999999999999984,19.24788888608212,19.247888886081352,693,170
drift_state,0.05,2101,0,sequence,shortest_oracle,0.9999999999999984,19.255519359311204,19.255519359310437,693,170
drift_state,0.05,2101,0,sequence,ssp_optimal,0.9999999999999986,19.224130766937613,19.224130766936902,693,170
drift_state,0.05,2101,1,all_of,linear,0.9999999999999989,11.652690637652523,11.652690637651967,1380,170
drift_state,0.05,2101,1,all_of,shortest,0.9999999999999857,11.963916945692816,11.963916945685654,1380,170
drift_state,0.05,2101,1,all_of,linear_empirical,0.9999999999999988,11.65269059159454,11.65269059159393,1380,170
drift_state,0.05,2101,1,all_of,certainty_equivalent,0.9999999999999866,11.964033687323315,11.964033687316597,1380,170
drift_state,0.05,2101,1,all_of,linear_oracle,0.9999999999999989,10.587548822660592,10.587548822660036,1380,170
drift_state,0.05,2101,1,all_of,shortest_oracle,0.9999999999999984,10.941531192784897,10.941531192784119,1380,170
drift_state,0.05,2101,1,all_of,ssp_optimal,0.9999999999999996,10.481757385052752,10.48175738505253,1380,170
drift_state,0.05,2101,2,condition_then,linear,0.9999977969291663,44.10671088187629,44.105680077546836,419,170
drift_state,0.05,2101,2,condition_then,shortest,0.9999977964286256,44.11386019861458,44.11282917583852,419,170
drift_state,0.05,2101,2,condition_then,linear_empirical,0.999999999999999,6.214080168032529,6.214080168032024,419,170
drift_state,0.05,2101,2,condition_then,certainty_equivalent,0.9999999999999998,6.210679633843378,6.210679633843266,419,170
drift_state,0.05,2101,2,condition_then,linear_oracle,0.9999999999999988,6.214338189829045,6.214338189828427,419,170
drift_state,0.05,2101,2,condition_then,shortest_oracle,0.9999999999999989,6.305436639166781,6.30543663916622,419,170
drift_state,0.05,2101,2,condition_then,ssp_optimal,0.9999999999999993,6.200838912242365,6.200838912242029,419,170
drift_state,0.05,2101,3,sequence,linear,0.9999999999999988,23.542831841715895,23.542831841715298,693,170
drift_state,0.05,2101,3,sequence,shortest,0.999999352186189,27.711784098018278,27.711470369220255,693,170
drift_state,0.05,2101,3,sequence,linear_empirical,0.9999999999999979,23.51330455782613,23.5133045578251,693,170
