seed,budget,task_id,task_type,method,success,steps,shortest_product_steps,base_learned_states,task_memory_states,reachable_product_states
2505,512,23,condition_then,dynamic_source,False,3,,137,3,0
2505,512,23,condition_then,product_compiler,False,0,,137,3,185
2505,512,24,sequence,static_source,False,512,,137,4,0
2505,512,24,sequence,dynamic_source,False,0,,137,4,0
2505,512,24,sequence,product_compiler,False,0,,137,4,137
2505,512,25,all_of,static_source,False,512,,137,8,0
2505,512,25,all_of,dynamic_source,False,6,,137,8,0
2505,512,25,all_of,product_compiler,False,0,,137,8,273
2505,512,26,condition_then,static_source,False,512,,137,3,0
2505,512,26,condition_then,dynamic_source,False,0,,137,3,0
2505,512,26,condition_then,product_compiler,False,0,,137,3,137
2505,512,27,sequence,static_source,False,512,,137,4,0
2505,512,27,sequence,dynamic_source,False,0,,137,4,0
2505,512,27,sequence,product_compiler,False,0,,137,4,137
2505,512,28,all_of,static_source,False,512,,137,8,0
2505,512,28,all_of,dynamic_source,False,7,,137,8,0
2505,512,28,all_of,product_compiler,False,0,,137,8,273
2505,512,29,condition_then,static_source,False,512,,137,3,0
2505,512,29,condition_then,dynamic_source,False,0,,137,3,0
2505,512,29,condition_then,product_compiler,False,0,,137,3,137
2505,512,30,sequence,static_source,False,0,,137,4,0
2505,512,30,sequence,dynamic_source,False,0,,137,4,0
2505,512,30,sequence,product_compiler,False,0,,137,4,137
2505,512,31,all_of,static_source,False,0,,137,8,0
2505,512,31,all_of,dynamic_source,False,0,,137,8,0
2505,512,31,all_of,product_compiler,False,0,,137,8,137
2505,512,32,condition_then,static_source,False,0,,137,3,0
2505,512,32,condition_then,dynamic_source,False,0,,137,3,0
2505,512,32,condition_then,product_compiler,False,0,,137,3,137
2505,512,33,sequence,static_source,False,512,,137,4,0
2505,512,33,sequence,dynamic_source,False,4,,137,4,0
2505,512,33,sequence,product_compiler,False,0,,137,4,273
2505,512,34,all_of,static_source,False,512,,137,8,0
2505,512,34,all_of,dynamic_source,False,4,,137,8,0
2505,512,34,all_of,product_compiler,False,0,,137,8,273
2505,512,35,condition_then,static_source,False,512,,137,3,0
2505,512,35,condition_then,dynamic_source,False,3,,137,3,0
2505,512,35,condition_then,product_compiler,False,0,,137,3,254
2505,512,36,branch,static_source,False,512,11.0,137,4,0
2505,512,36,branch,dynamic_source,True,16,11.0,137,4,0
2505,512,36,branch,product_compiler,True,11,11.0,137,4,544
2505,512,37,branch,static_source,False,512,,137,4,0
2505,512,37,branch,dynamic_source,False,0,,137,4,0
2505,512,37,branch,product_compiler,False,0,,137,4,137
2505,512,38,branch,static_source,False,0,,137,4,0
2505,512,38,branch,dynamic_source,False,0,,137,4,0
2505,512,38,branch,product_compiler,False,0,,137,4,0
2505,512,39,branch,static_source,False,512,,137,4,0
2505,512,39,branch,dynamic_source,False,5,,137,4,0
2505,512,39,branch,product_compiler,False,0,,137,4,273
2505,512,40,branch,static_source,False,0,,137,4,0
2505,512,40,branch,dynamic_source,False,0,,137,4,0
2505,512,40,branch,product_compiler,False,0,,137,4,0
2505,512,41,branch,static_source,False,512,9.0,137,4,0
2505,512,41,branch,dynamic_source,False,4,9.0,137,4,0
2505,512,41,branch,product_compiler,True,9,9.0,137,4,545
2505,512,42,branch,static_source,False,512,,137,4,0
2505,512,42,branch,dynamic_source,False,0,,137,4,0
2505,512,42,branch,product_compiler,False,0,,137,4,137
2505,512,43,branch,static_source,False,512,9.0,137,4,0
2505,512,43,branch,dynamic_source,True,18,9.0,137,4,0
2505,512,43,branch,product_compiler,True,9,9.0,137,4,544
2505,512,44,branch,static_source,False,512,9.0,137,4,0
2505,512,44,branch,dynamic_source,False,4,9.0,137,4,0
2505,512,44,branch,product_compiler,True,9,9.0,137,4,545
2505,512,45,branch,static_source,False,0,,137,4,0
2505,512,45,branch,dynamic_source,False,0,,137,4,0
2505,512,45,branch,product_compiler,False,0,,137,4,0
2505,2048,0,sequence,static_source,False,512,17.0,297,4,0
2505,2048,0,sequence,dynamic_source,True,17,17.0,297,4,0
2505,2048,0,sequence,product_compiler,True,17,17.0,297,4,1185
2505,2048,1,all_of,static_source,False,512,15.0,297,8,0
2505,2048,1,all_of,dynamic_source,True,15,15.0,297,8,0
2505,2048,1,all_of,product_compiler,True,15,15.0,297,8,2364
2505,2048,2,condition_then,static_source,False,512,6.0,297,3,0
2505,2048,2,condition_then,dynamic_source,True,6,6.0,297,3,0
2505,2048,2,condition_then,product_compiler,True,6,6.0,297,3,653
2505,2048,3,sequence,static_source,False,512,17.0,297,4,0
2505,2048,3,sequence,dynamic_source,True,17,17.0,297,4,0
2505,2048,3,sequence,product_compiler,True,17,17.0,297,4,1185
2505,2048,4,all_of,static_source,False,512,14.0,297,8,0
2505,2048,4,all_of,dynamic_source,True,16,14.0,297,8,0
2505,2048,4,all_of,product_compiler,True,16,14.0,297,8,2364
2505,2048,5,condition_then,static_source,False,512,8.0,297,3,0
2505,2048,5,condition_then,dynamic_source,True,8,8.0,297,3,0
2505,2048,5,condition_then,product_compiler,True,8,8.0,297,3,773
2505,2048,6,sequence,static_source,False,512,20.0,297,4,0
2505,2048,6,sequence,dynamic_source,True,20,20.0,297,4,0
2505,2048,6,sequence,product_compiler,True,20,20.0,297,4,1185
2505,2048,7,all_of,static_source,False,512,17.0,297,8,0
2505,2048,7,all_of,dynamic_source,True,17,17.0,297,8,0
2505,2048,7,all_of,product_compiler,True,17,17.0,297,8,2364
2505,2048,8,condition_then,static_source,False,512,7.0,297,3,0
2505,2048,8,condition_then,dynamic_source,True,7,7.0,297,3,0
2505,2048,8,condition_then,product_compiler,True,7,7.0,297,3,740
2505,2048,9,sequence,static_source,False,512,22.0,297,4,0
2505,2048,9,sequence,dynamic_source,True,22,22.0,297,4,0
2505,2048,9,sequence,product_compiler,True,22,22.0,297,4,1185
2505,2048,10,all_of,static_source,False,512,18.0,297,8,0
2505,2048,10,all_of,dynamic_source,True,18,18.0,297,8,0
2505,2048,10,all_of,product_compiler,True,18,18.0,297,8,2364
2505,2048,11,condition_then,static_source,False,512,10.0,297,3,0
2505,2048,11,condition_then,dynamic_source,True,10,10.0,297,3,0
2505,2048,11,condition_then,product_compiler,True,10,10.0,297,3,788
2505,2048,12,sequence,static_source,False,512,25.0,297,4,0
2505,2048,12,sequence,dynamic_source,True,25,25.0,297,4,0
2505,2048,12,sequence,product_compiler,True,25,25.0,297,4,1185
2505,2048,13,all_of,static_source,False,512,14.0,297,8,0
2505,2048,13,all_of,dynamic_source,True,17,14.0,297,8,0
2505,2048,13,all_of,product_compiler,True,17,14.0,297,8,2364
2505,2048,14,condition_then,static_source,False,512,12.0,297,3,0
2505,2048,14,condition_then,dynamic_source,True,12,12.0,297,3,0
2505,2048,14,condition_then,product_compiler,True,12,12.0,297,3,713
2505,2048,15,sequence,static_source,False,512,18.0,297,4,0
2505,2048,15,sequence,dynamic_source,True,18,18.0,297,4,0
2505,2048,15,sequence,product_compiler,True,18,18.0,297,4,1185
2505,2048,16,all_of,static_source,False,512,19.0,297,8,0
2505,2048,16,all_of,dynamic_source,True,19,19.0,297,8,0
2505,2048,16,all_of,product_compiler,True,19,19.0,297,8,2364
2505,2048,17,condition_then,static_source,False,512,13.0,297,3,0
2505,2048,17,condition_then,dynamic_source,True,15,13.0,297,3,0
2505,2048,17,condition_then,product_compiler,True,13,13.0,297,3,763
2505,2048,18,sequence,static_source,False,512,27.0,297,4,0
2505,2048,18,sequence,dynamic_source,True,27,27.0,297,4,0
2505,2048,18,sequence,product_compiler,True,27,27.0,297,4,1185
2505,2048,19,all_of,static_source,False,512,25.0,297,8,0
2505,2048,19,all_of,dynamic_source,True,25,25.0,297,8,0
2505,2048,19,all_of,product_compiler,True,25,25.0,297,8,2364
2505,2048,20,condition_then,static_source,False,512,16.0,297,3,0
2505,2048,20,condition_then,dynamic_source,True,16,16.0,297,3,0
2505,2048,20,condition_then,product_compiler,True,16,16.0,297,3,773
2505,2048,21,sequence,static_source,False,512,26.0,297,4,0
2505,2048,21,sequence,dynamic_source,True,26,26.0,297,4,0
2505,2048,21,sequence,product_compiler,True,26,26.0,297,4,1185
2505,2048,22,all_of,static_source,False,512,25.0,297,8,0
2505,2048,22,all_of,dynamic_source,True,25,25.0,297,8,0
2505,2048,22,all_of,product_compiler,True,25,25.0,297,8,2364
2505,2048,23,condition_then,static_source,False,512,18.0,297,3,0
2505,2048,23,condition_then,dynamic_source,True,18,18.0,297,3,0
2505,2048,23,condition_then,product_compiler,True,18,18.0,297,3,710
2505,2048,24,sequence,static_source,False,512,23.0,297,4,0
2505,2048,24,sequence,dynamic_source,True,23,23.0,297,4,0
2505,2048,24,sequence,product_compiler,True,23,23.0,297,4,1185
2505,2048,25,all_of,static_source,False,512,22.0,297,8,0
2505,2048,25,all_of,dynamic_source,True,24,22.0,297,8,0
2505,2048,25,all_of,product_compiler,True,22,22.0,297,8,2364
2505,2048,26,condition_then,static_source,False,512,12.0,297,3,0
2505,2048,26,condition_then,dynamic_source,True,12,12.0,297,3,0
2505,2048,26,condition_then,product_compiler,True,12,12.0,297,3,770
2505,2048,27,sequence,static_source,False,512,19.0,297,4,0
2505,2048,27,sequence,dynamic_source,True,19,19.0,297,4,0
2505,2048,27,sequence,product_compiler,True,19,19.0,297,4,1185
2505,2048,28,all_of,static_source,False,512,17.0,297,8,0
2505,2048,28,all_of,dynamic_source,True,17,17.0,297,8,0
2505,2048,28,all_of,product_compiler,True,17,17.0,297,8,2364
2505,2048,29,condition_then,static_source,False,512,10.0,297,3,0
2505,2048,29,condition_then,dynamic_source,True,10,10.0,297,3,0
2505,2048,29,condition_then,product_compiler,True,10,10.0,297,3,770
2505,2048,30,sequence,static_source,False,512,18.0,297,4,0
2505,2048,30,sequence,dynamic_source,True,18,18.0,297,4,0
2505,2048,30,sequence,product_compiler,True,18,18.0,297,4,1185
2505,2048,31,all_of,static_source,False,512,7.0,297,8,0
2505,2048,31,all_of,dynamic_source,True,7,7.0,297,8,0
2505,2048,31,all_of,product_compiler,True,7,7.0,297,8,2364
2505,2048,32,condition_then,static_source,False,512,12.0,297,3,0
2505,2048,32,condition_then,dynamic_source,True,12,12.0,297,3,0
2505,2048,32,condition_then,product_compiler,True,12,12.0,297,3,830
2505,2048,33,sequence,static_source,False,512,15.0,297,4,0
2505,2048,33,sequence,dynamic_source,True,15,15.0,297,4,0
2505,2048,33,sequence,product_compiler,True,15,15.0,297,4,1185
2505,2048,34,all_of,static_source,False,512,16.0,297,8,0
2505,2048,34,all_of,dynamic_source,True,16,16.0,297,8,0
2505,2048,34,all_of,product_compiler,True,16,16.0,297,8,2364
2505,2048,35,condition_then,static_source,False,512,12.0,297,3,0
2505,2048,35,condition_then,dynamic_source,True,12,12.0,297,3,0
2505,2048,35,condition_then,product_compiler,True,12,12.0,297,3,710
2505,2048,36,branch,static_source,False,512,11.0,297,4,0
2505,2048,36,branch,dynamic_source,True,16,11.0,297,4,0
2505,2048,36,branch,product_compiler,True,11,11.0,297,4,1184
2505,2048,37,branch,static_source,False,512,9.0,297,4,0
2505,2048,37,branch,dynamic_source,True,17,9.0,297,4,0
2505,2048,37,branch,product_compiler,True,9,9.0,297,4,1184
2505,2048,38,branch,static_source,False,512,8.0,297,4,0
