seed,policy,wall_seconds,cpu_seconds,field_solve_seconds,process_peak_rss_bytes_so_far
73000000,structural,7.945556198000013,7.944471332,0,66637824
73000000,frontier_t0,0.740834886000016,0.7407288529999982,0,66637824
73000000,virtual_frontier,1.4028284829999933,1.402639416,0.1840941829999707,66637824
73000000,task_virtual_frontier,1.4003061479999772,1.4000730640000005,0.18230408399996634,66637824
73000001,structural,0.7457599939999895,0.7456236589999978,0,66768896
73000001,frontier_t0,0.7308161760000189,0.7306385829999993,0,66768896
73000001,virtual_frontier,0.7473733319999951,0.7471387120000017,0,66768896
73000001,task_virtual_frontier,0.7377293310000042,0.7376394359999985,0,66768896
73000002,structural,0.065044678999989,0.06501349000000012,0,66768896
73000002,frontier_t0,0.06470194299998866,0.06467081099999916,0,66768896
73000002,virtual_frontier,0.06577955300000582,0.06574910299999814,0,66768896
73000002,task_virtual_frontier,0.06583560599998606,0.06580341299999937,0,66768896
73000003,structural,0.5080405750000239,0.5079664159999968,0,66768896
73000003,frontier_t0,0.5073016420000016,0.5071925309999905,0,66768896
73000003,virtual_frontier,0.5147985559999952,0.5147027599999987,0,66768896
73000003,task_virtual_frontier,0.5145648579999929,0.5144633490000103,0,66768896
73000004,structural,1.4981566009999838,1.4979493619999964,0,67551232
73000004,frontier_t0,1.2423723220000227,1.2421829019999961,0,67551232
73000004,virtual_frontier,1.3870663349999788,1.3868951580000015,0.11535351000008376,67551232
73000004,task_virtual_frontier,1.3867813929999926,1.3864957950000054,0.11584545400010171,67551232
73000005,structural,0.6009849089999904,0.6008637770000007,0,63950848
73000005,frontier_t0,0.5781052909999929,0.5779118589999999,0,63950848
73000005,virtual_frontier,0.5707374809999948,0.570595612,0,63950848
73000005,task_virtual_frontier,0.5697401840000182,0.5696446459999999,0,63950848
73000006,structural,2.0953527270000123,2.0948933829999996,0,68829184
73000006,frontier_t0,2.062229151000004,2.061907293999999,0,68829184
73000006,virtual_frontier,2.8154584209999953,2.8146986600000012,0.17075587500000466,68829184
73000006,task_virtual_frontier,2.8216586730000017,2.821070562000002,0.1705087099999858,68829184
73000007,structural,0.9930977309999989,0.9928900899999977,0,68829184
73000007,frontier_t0,1.110078143999992,1.1097062370000028,0,68829184
73000007,virtual_frontier,0.8710316370000086,0.8708262840000014,0.03310532399999033,68829184
73000007,task_virtual_frontier,0.8783956810000006,0.8782609969999999,0.035749572999996815,68829184
73000008,structural,16.51618438600002,16.514285240000003,0,68829184
73000008,frontier_t0,1.707836544000024,1.7075601579999962,0,68829184
73000008,virtual_frontier,3.287744496000002,3.2871874889999972,0.37142252399992515,68829184
73000008,task_virtual_frontier,2.649381061999982,2.649009556000003,0.31145521200019743,68829184
73000009,structural,0.08074403800002017,0.08070837500000749,0,68829184
73000009,frontier_t0,0.08001252499997236,0.07997779899999813,0,68829184
73000009,virtual_frontier,0.07980961799997033,0.07976171700001089,0,68829184
73000009,task_virtual_frontier,0.08050388900002758,0.0804693460000081,0,68829184
73000010,structural,4.3856931519999875,4.385099534999998,0,65753088
73000010,frontier_t0,3.2039309040000035,3.2036951690000004,0,65753088
73000010,virtual_frontier,5.581790563999988,5.581110036000004,0.6448941620002699,65753088
73000010,task_virtual_frontier,5.263206660999998,5.262788761000004,0.6163212470001724,65753088
73000011,structural,19.227525257999986,19.225895123999987,0,67420160
73000011,frontier_t0,2.8486702479999906,2.848440264999983,0,67420160
73000011,virtual_frontier,4.17509224799997,4.174647897999982,0.4928214299994238,67420160
73000011,task_virtual_frontier,4.033809268000027,4.033500853,0.4813447370002848,67420160
73000013,structural,0.22835370600000715,0.22831133100000045,0,67420160
73000013,frontier_t0,0.22729556699999875,0.22723897099999135,0,67420160
73000013,virtual_frontier,0.22758159299996805,0.2275321979999987,0,67420160
