seed,policy,episodes,successes,mean_capped_steps,tasks_with_changed_decision,exploration_decisions,virtual_field_decisions,task_signal_available_decisions,field_changed_decisions,field_solve_seconds,wall_seconds,cpu_seconds,peak_process_rss_bytes
2101,structural,12,12,122.91666666666667,0,1353,0,0,0,0,3.6039847610000066,3.603623614000001,65339392
2101,frontier_t0,12,12,87.91666666666667,0,927,0,0,0,0,3.147784599000019,3.1475107110000033,65339392
2101,virtual_frontier,12,12,47.0,0,436,436,232,0,0.349549069000048,3.5290928490000226,3.5288252520000016,65339392
2101,task_virtual_frontier,12,12,47.0,1,436,436,232,1,0.3484233970001185,3.516693411999995,3.5163734559999975,65339392
