capped_steps,cpu_seconds,exploration_policy_cpu_seconds,exploration_steps,failure_reason,final_memory,final_memory_accepting,oracle_setup_cpu_seconds,policy,process_peak_rss_bytes_so_far,replans,sampled_peak_rss_bytes,seed,states_known_at_end,success,task_id,task_steps,task_type,wall_seconds
14,0.06822360999999999,0.0,0,success,3,True,0.0034339740000000063,oracle_source,68386816,14,67796992,77000000,155,True,9,14,branch,0.06822721999998294
14,0.06847300499999998,0.0,0,success,3,True,0.0034877440000000703,oracle_direct,68386816,14,67796992,77000000,155,True,9,14,branch,0.0684770689999823
12,0.059162721999999945,0.0,0,success,3,True,0,generic,68386816,12,67801088,77000000,155,True,10,12,branch,0.059178400000007514
12,0.05878948599999978,0.0,0,success,3,True,0,current_task,68386816,12,67801088,77000000,155,True,10,12,branch,0.05879350800000793
12,0.06933522299999995,0.0,0,success,3,True,0.00342046900000037,oracle_source,68386816,12,67801088,77000000,155,True,10,12,branch,0.06933898500000168
12,0.06213276099999998,0.0,0,success,3,True,0.0034497229999996826,oracle_direct,68386816,12,67801088,77000000,155,True,10,12,branch,0.0621470869999996
14,0.05747043599999957,0.0,0,success,3,True,0,generic,68386816,14,67801088,77000000,155,True,11,14,branch,0.05749249800001621
14,0.0571201729999995,0.0,0,success,3,True,0,current_task,68386816,14,67801088,77000000,155,True,11,14,branch,0.05713424700002179
14,0.06058505199999953,0.0,0,success,3,True,0.0034405760000000285,oracle_source,68386816,14,67801088,77000000,155,True,11,14,branch,0.060630462999995416
14,0.06050270099999988,0.0,0,success,3,True,0.0034114419999999868,oracle_direct,68386816,14,67801088,77000000,155,True,11,14,branch,0.06051687000001493
43,0.1446470419999999,0.046165423000000594,21,success,3,True,0,generic,68386816,43,68083712,77000001,71,True,0,43,sequence,0.1446670880000056
43,0.13572144699999988,0.04610128199999863,21,success,3,True,0,current_task,68386816,43,68083712,77000001,71,True,0,43,sequence,0.1357383870000035
89,0.3570977810000002,0.20522008800000258,89,success,3,True,0.0029517039999999994,oracle_source,68386816,89,68194304,77000001,72,True,0,89,sequence,0.35713958799999546
20,0.03178021799999975,0.00043670699999864837,20,success,3,True,0.0029953369999997648,oracle_direct,68386816,20,68194304,77000001,70,True,0,20,sequence,0.03178287899999077
20,0.07988130100000035,0.0,0,success,7,True,0,generic,68386816,20,68214784,77000001,67,True,1,20,all_of,0.07989629200000081
20,0.07957007500000035,0.0,0,success,7,True,0,current_task,68386816,20,68214784,77000001,67,True,1,20,all_of,0.079609865000009
20,0.08484273300000034,0.0,0,success,7,True,0.005973269000000059,oracle_source,68386816,20,68214784,77000001,67,True,1,20,all_of,0.08484633399999097
20,0.08514143100000027,0.0,0,success,7,True,0.006095947999999574,oracle_direct,68386816,20,68214784,77000001,67,True,1,20,all_of,0.0851571970000009
7,0.015035940000000636,0.0,0,success,2,True,0,generic,68386816,7,68214784,77000001,67,True,2,7,condition_then,0.01503928100001417
7,0.014974446000000086,0.0,0,success,2,True,0,current_task,68386816,7,68214784,77000001,67,True,2,7,condition_then,0.01497761600001013
