seed,budget,task_id,task_type,method,success,steps,shortest_product_steps,base_learned_states,task_memory_states,reachable_product_states
2101,512,24,sequence,static_source,False,0,,128,4,0
2101,512,24,sequence,dynamic_source,False,0,,128,4,0
2101,512,24,sequence,product_compiler,False,0,,128,4,0
2101,512,24,sequence,optimal_product,False,0,,128,4,0
2101,512,25,all_of,static_source,False,0,,128,8,0
2101,512,25,all_of,dynamic_source,False,0,,128,8,0
2101,512,25,all_of,product_compiler,False,0,,128,8,0
2101,512,25,all_of,optimal_product,False,0,,128,8,0
2101,512,26,condition_then,static_source,False,0,,128,3,0
2101,512,26,condition_then,dynamic_source,False,0,,128,3,0
2101,512,26,condition_then,product_compiler,False,0,,128,3,0
2101,512,26,condition_then,optimal_product,False,0,,128,3,0
2101,512,27,sequence,static_source,False,0,,128,4,0
2101,512,27,sequence,dynamic_source,False,0,,128,4,0
2101,512,27,sequence,product_compiler,False,0,,128,4,0
2101,512,27,sequence,optimal_product,False,0,,128,4,0
2101,512,28,all_of,static_source,False,0,,128,8,0
2101,512,28,all_of,dynamic_source,False,0,,128,8,0
2101,512,28,all_of,product_compiler,False,0,,128,8,0
2101,512,28,all_of,optimal_product,False,0,,128,8,0
2101,512,29,condition_then,static_source,False,0,,128,3,0
2101,512,29,condition_then,dynamic_source,False,0,,128,3,0
2101,512,29,condition_then,product_compiler,False,0,,128,3,0
2101,512,29,condition_then,optimal_product,False,0,,128,3,0
2101,512,30,sequence,static_source,False,0,,128,4,0
2101,512,30,sequence,dynamic_source,False,0,,128,4,0
2101,512,30,sequence,product_compiler,False,0,,128,4,0
2101,512,30,sequence,optimal_product,False,0,,128,4,0
2101,512,31,all_of,static_source,False,0,,128,8,0
2101,512,31,all_of,dynamic_source,False,0,,128,8,0
2101,512,31,all_of,product_compiler,False,0,,128,8,0
2101,512,31,all_of,optimal_product,False,0,,128,8,0
2101,512,32,condition_then,static_source,False,0,,128,3,0
2101,512,32,condition_then,dynamic_source,False,0,,128,3,0
2101,512,32,condition_then,product_compiler,False,0,,128,3,0
2101,512,32,condition_then,optimal_product,False,0,,128,3,0
2101,512,33,sequence,static_source,False,512,,128,4,0
2101,512,33,sequence,dynamic_source,False,7,,128,4,0
2101,512,33,sequence,product_compiler,False,0,,128,4,251
2101,512,33,sequence,optimal_product,False,0,,128,4,251
2101,512,34,all_of,static_source,False,512,,128,8,0
2101,512,34,all_of,dynamic_source,False,7,,128,8,0
2101,512,34,all_of,product_compiler,False,0,,128,8,500
2101,512,34,all_of,optimal_product,False,0,,128,8,500
2101,512,35,condition_then,static_source,False,512,14,128,3,0
2101,512,35,condition_then,dynamic_source,True,14,14,128,3,0
2101,512,35,condition_then,product_compiler,True,14,14,128,3,364
2101,512,35,condition_then,optimal_product,True,14,14,128,3,364
2101,512,36,branch,static_source,False,512,9,128,4,0
2101,512,36,branch,dynamic_source,False,3,9,128,4,0
2101,512,36,branch,product_compiler,True,9,9,128,4,499
2101,512,36,branch,optimal_product,True,9,9,128,4,499
2101,512,37,branch,static_source,False,512,10,128,4,0
2101,512,37,branch,dynamic_source,False,5,10,128,4,0
2101,512,37,branch,product_compiler,True,10,10,128,4,501
2101,512,37,branch,optimal_product,True,10,10,128,4,501
2101,512,38,branch,static_source,False,512,8,128,4,0
2101,512,38,branch,dynamic_source,False,5,8,128,4,0
2101,512,38,branch,product_compiler,True,8,8,128,4,498
2101,512,38,branch,optimal_product,True,8,8,128,4,498
2101,512,39,branch,static_source,False,512,9,128,4,0
2101,512,39,branch,dynamic_source,True,9,9,128,4,0
2101,512,39,branch,product_compiler,True,9,9,128,4,372
2101,512,39,branch,optimal_product,True,9,9,128,4,372
2101,512,40,branch,static_source,False,512,,128,4,0
2101,512,40,branch,dynamic_source,False,4,,128,4,0
2101,512,40,branch,product_compiler,False,0,,128,4,251
2101,512,40,branch,optimal_product,False,0,,128,4,251
2101,512,41,branch,static_source,False,512,10,128,4,0
2101,512,41,branch,dynamic_source,True,10,10,128,4,0
2101,512,41,branch,product_compiler,True,10,10,128,4,501
2101,512,41,branch,optimal_product,True,10,10,128,4,501
2101,512,42,branch,static_source,False,0,,128,4,0
2101,512,42,branch,dynamic_source,False,0,,128,4,0
2101,512,42,branch,product_compiler,False,0,,128,4,0
2101,512,42,branch,optimal_product,False,0,,128,4,0
2101,512,43,branch,static_source,False,512,,128,4,0
2101,512,43,branch,dynamic_source,False,0,,128,4,0
2101,512,43,branch,product_compiler,False,0,,128,4,126
2101,512,43,branch,optimal_product,False,0,,128,4,126
2101,512,44,branch,static_source,False,512,15,128,4,0
2101,512,44,branch,dynamic_source,True,15,15,128,4,0
2101,512,44,branch,product_compiler,True,18,15,128,4,500
2101,512,44,branch,optimal_product,True,15,15,128,4,500
2101,512,45,branch,static_source,False,512,11,128,4,0
2101,512,45,branch,dynamic_source,True,11,11,128,4,0
2101,512,45,branch,product_compiler,True,11,11,128,4,501
2101,512,45,branch,optimal_product,True,11,11,128,4,501
2101,2048,0,sequence,static_source,False,512,21,162,4,0
2101,2048,0,sequence,dynamic_source,True,22,21,162,4,0
2101,2048,0,sequence,product_compiler,True,22,21,162,4,645
2101,2048,0,sequence,optimal_product,True,21,21,162,4,645
