slip,seed,task_id,task_type,planner,replicate,success,steps,exploration_steps,states_added,model_changes,builds,failure_reason,seconds
0.05,2202,0,sequence,linear,1,True,18,0,0,0,1,success,0.007
0.05,2202,0,sequence,shortest,1,True,18,0,0,0,1,success,0.003
0.05,2202,0,sequence,linear,2,True,19,0,0,0,1,success,0.008
0.05,2202,0,sequence,shortest,2,True,18,0,0,0,1,success,0.005
0.05,2202,0,sequence,linear,3,True,18,0,0,0,1,success,0.008
0.05,2202,0,sequence,shortest,3,True,18,0,0,0,1,success,0.006
0.05,2202,1,all_of,linear,1,True,11,0,0,0,1,success,0.018
0.05,2202,1,all_of,shortest,1,True,11,0,0,0,1,success,0.013
0.05,2202,1,all_of,linear,2,True,9,0,0,0,1,success,0.016
0.05,2202,1,all_of,shortest,2,True,9,0,0,0,1,success,0.007
0.05,2202,1,all_of,linear,3,True,9,0,0,0,1,success,0.015
0.05,2202,1,all_of,shortest,3,True,9,0,0,0,1,success,0.022
0.05,2202,2,condition_then,linear,1,True,8,0,0,0,1,success,0.005
0.05,2202,2,condition_then,shortest,1,True,8,0,0,0,1,success,0.004
0.05,2202,2,condition_then,linear,2,True,8,0,0,0,1,success,0.007
0.05,2202,2,condition_then,shortest,2,True,8,0,0,0,1,success,0.004
0.05,2202,2,condition_then,linear,3,True,10,0,0,0,1,success,0.004
0.05,2202,2,condition_then,shortest,3,True,10,0,0,0,1,success,0.003
0.05,2202,3,sequence,linear,1,True,20,0,0,1,2,success,0.013
0.05,2202,3,sequence,shortest,1,True,20,0,0,0,1,success,0.004
0.05,2202,3,sequence,linear,2,True,21,0,0,1,2,success,0.01
0.05,2202,3,sequence,shortest,2,True,21,0,0,0,1,success,0.005
0.05,2202,3,sequence,linear,3,True,25,0,0,1,2,success,0.009
0.05,2202,3,sequence,shortest,3,True,25,0,0,0,1,success,0.005
0.05,2202,4,all_of,linear,1,True,17,0,0,0,1,success,0.016
0.05,2202,4,all_of,shortest,1,True,17,0,0,0,1,success,0.01
0.05,2202,4,all_of,linear,2,True,18,0,0,0,1,success,0.015
0.05,2202,4,all_of,shortest,2,True,18,0,0,0,1,success,0.01
0.05,2202,4,all_of,linear,3,True,17,0,0,0,1,success,0.013
0.05,2202,4,all_of,shortest,3,True,17,0,0,0,1,success,0.01
0.05,2202,5,condition_then,linear,1,True,13,0,0,0,1,success,0.003
0.05,2202,5,condition_then,shortest,1,True,13,0,0,0,1,success,0.004
0.05,2202,5,condition_then,linear,2,True,13,0,0,0,1,success,0.005
0.05,2202,5,condition_then,shortest,2,True,13,0,0,0,1,success,0.003
0.05,2202,5,condition_then,linear,3,True,13,0,0,0,1,success,0.006
0.05,2202,5,condition_then,shortest,3,True,15,0,0,0,1,success,0.003
0.05,2202,6,sequence,linear,1,True,16,1,1,1,2,success,0.009
0.05,2202,6,sequence,shortest,1,True,16,1,1,1,2,success,0.006
0.05,2202,6,sequence,linear,2,True,16,1,1,1,2,success,0.008
0.05,2202,6,sequence,shortest,2,True,18,1,1,1,2,success,0.004
0.05,2202,6,sequence,linear,3,True,16,1,1,1,2,success,0.006
0.05,2202,6,sequence,shortest,3,True,16,1,1,1,2,success,0.005
0.05,2202,7,all_of,linear,1,True,14,1,1,1,2,success,0.018
0.05,2202,7,all_of,shortest,1,True,14,1,1,1,2,success,0.008
0.05,2202,7,all_of,linear,2,True,18,1,1,1,2,success,0.013
0.05,2202,7,all_of,shortest,2,True,18,1,1,1,2,success,0.008
